"architecture","n_territories","replicate","dim_reduction","n_selected","selected_dims","ari_baseline","ari_selected","improvement","top_score","bottom_score"
"3_territories",3,1,"PCA",1,"1",0.4762,0.9117,0.4355,0.8441,-0.0161
"3_territories",3,1,"PCA_L",8,"1;2;3;4;5;6;7;8",-0.0024,-0.0027,-3e-04,0.1341,-0.0304
"3_territories",3,2,"PCA",2,"1;2",0.8604,0.8633,0.0029,0.845,-0.0025
"3_territories",3,2,"PCA_L",8,"1;2;3;4;5;6;7;8",0.0022,0.0022,0,0.223,0.001
"3_territories",3,3,"PCA",2,"1;2",0.7469,0.7287,-0.0182,0.789,0.0153
"3_territories",3,3,"PCA_L",8,"1;2;3;4;5;6;7;8",0.0185,0.0185,0,0.2336,0.0232
"3_territories",3,4,"PCA",2,"1;2",0.9645,0.9606,-0.0039,0.8421,-0.0186
"3_territories",3,4,"PCA_L",1,"1",-0.0051,0.159,0.1642,0.2315,-0.0013
"3_territories",3,5,"PCA",2,"1;2",0.8062,0.7967,-0.0095,0.7356,-0.027
"3_territories",3,5,"PCA_L",1,"1",0.0168,0.1151,0.0983,0.2719,-0.0061
"5_territories",5,1,"PCA",2,"1;2",0.5145,0.5436,0.0291,0.7934,-0.022
"5_territories",5,1,"PCA_L",1,"1",0.0261,0.1348,0.1087,0.3773,-0.0373
"5_territories",5,2,"PCA",2,"1;2",0.4837,0.5288,0.0451,0.7702,-0.0332
"5_territories",5,2,"PCA_L",1,"1",0.012,0.0983,0.0863,0.2845,-0.0134
"5_territories",5,3,"PCA",10,"1;2;3;4;5;6;7;8;9;10",0.7103,0.702,-0.0083,0.8002,-0.0052
"5_territories",5,3,"PCA_L",10,"1;2;3;4;5;6;7;8;9;10",0.0267,0.0267,0,0.1876,-0.0204
"5_territories",5,4,"PCA",3,"1;2;3",0.5824,0.5913,0.0089,0.8395,-0.0474
"5_territories",5,4,"PCA_L",1,"1",0.0234,0.155,0.1316,0.3372,-8e-04
"5_territories",5,5,"PCA",10,"1;2;3;4;5;6;7;8;9;10",0.8508,0.8508,0,0.7642,-0.0181
"5_territories",5,5,"PCA_L",10,"1;2;3;4;5;6;7;8;9;10",0.0046,0.0046,0,0.2195,0.0061
