"architecture","n_territories","replicate","method","ARI","VI"
"simple_3",3,1,"Vesalius_all_dims",0.4773,1.256
"simple_3",3,1,"Vesalius_selected",0.9117,0.5843
"simple_3",3,1,"Vesalius_selected_redundancy",0.9117,0.5843
"simple_3",3,2,"Vesalius_all_dims",0.8616,0.5973
"simple_3",3,2,"Vesalius_selected",0.8633,0.5962
"simple_3",3,2,"Vesalius_selected_redundancy",0.8633,0.5962
"simple_3",3,3,"Vesalius_all_dims",0.7302,0.8311
"simple_3",3,3,"Vesalius_selected",0.6308,1.2154
"simple_3",3,3,"Vesalius_selected_redundancy",0.6308,1.2154
"simple_3",3,4,"Vesalius_all_dims",0.4043,1.1967
"simple_3",3,4,"Vesalius_selected",0.9194,0.5973
"simple_3",3,4,"Vesalius_selected_redundancy",0.9194,0.5973
"simple_3",3,5,"Vesalius_all_dims",0.7716,0.709
"simple_3",3,5,"Vesalius_selected",0.5998,1.0712
"simple_3",3,5,"Vesalius_selected_redundancy",0.5998,1.0712
"simple_3",3,6,"Vesalius_all_dims",0.4782,1.0123
"simple_3",3,6,"Vesalius_selected",0.9217,0.4522
"simple_3",3,6,"Vesalius_selected_redundancy",0.9217,0.4522
"simple_3",3,7,"Vesalius_all_dims",0.7498,0.5591
"simple_3",3,7,"Vesalius_selected",0.7569,0.5396
"simple_3",3,7,"Vesalius_selected_redundancy",0.7569,0.5396
"simple_3",3,8,"Vesalius_all_dims",0.3415,1.2269
"simple_3",3,8,"Vesalius_selected",0.9531,0.438
"simple_3",3,8,"Vesalius_selected_redundancy",0.9531,0.438
"simple_3",3,9,"Vesalius_all_dims",0.6262,0.8624
"simple_3",3,9,"Vesalius_selected",0.6764,0.7217
"simple_3",3,9,"Vesalius_selected_redundancy",0.6764,0.7217
"simple_3",3,10,"Vesalius_all_dims",0.7776,0.7049
"simple_3",3,10,"Vesalius_selected",0.6528,1.2241
"simple_3",3,10,"Vesalius_selected_redundancy",0.6528,1.2241
"complex_6",6,1,"Vesalius_all_dims",0.7012,0.8489
"complex_6",6,1,"Vesalius_selected",0.4476,2.4427
"complex_6",6,1,"Vesalius_selected_redundancy",0.4476,2.4427
"complex_6",6,2,"Vesalius_all_dims",0.5794,1.4762
"complex_6",6,2,"Vesalius_selected",0.5851,1.3865
"complex_6",6,2,"Vesalius_selected_redundancy",0.5851,1.3865
"complex_6",6,3,"Vesalius_all_dims",0.7858,0.6124
"complex_6",6,3,"Vesalius_selected",0.7974,0.5638
"complex_6",6,3,"Vesalius_selected_redundancy",0.7974,0.5638
"complex_6",6,4,"Vesalius_all_dims",0.7767,1.0063
"complex_6",6,4,"Vesalius_selected",0.8282,0.8298
"complex_6",6,4,"Vesalius_selected_redundancy",0.8282,0.8298
"complex_6",6,5,"Vesalius_all_dims",0.4057,1.5902
"complex_6",6,5,"Vesalius_selected",0.3313,1.9563
"complex_6",6,5,"Vesalius_selected_redundancy",0.3313,1.9563
"complex_6",6,6,"Vesalius_all_dims",0.7408,1.004
"complex_6",6,6,"Vesalius_selected",0.8188,0.7562
"complex_6",6,6,"Vesalius_selected_redundancy",0.8188,0.7562
"complex_6",6,7,"Vesalius_all_dims",0.7434,0.9129
"complex_6",6,7,"Vesalius_selected",0.6967,1.2091
"complex_6",6,7,"Vesalius_selected_redundancy",0.6967,1.2091
"complex_6",6,8,"Vesalius_all_dims",0.478,1.7484
"complex_6",6,8,"Vesalius_selected",0.2411,2.85
"complex_6",6,8,"Vesalius_selected_redundancy",0.2411,2.85
"complex_6",6,9,"Vesalius_all_dims",0.5953,1.0325
"complex_6",6,9,"Vesalius_selected",0.5973,1.1104
"complex_6",6,9,"Vesalius_selected_redundancy",0.5973,1.1104
"complex_6",6,10,"Vesalius_all_dims",0.6793,1.2583
"complex_6",6,10,"Vesalius_selected",0.6028,1.4024
"complex_6",6,10,"Vesalius_selected_redundancy",0.6028,1.4024
"complex_8",8,1,"Vesalius_all_dims",0.4879,1.9473
"complex_8",8,1,"Vesalius_selected",0.5485,1.5497
"complex_8",8,1,"Vesalius_selected_redundancy",0.5485,1.5497
"complex_8",8,2,"Vesalius_all_dims",0.6791,1.2516
"complex_8",8,2,"Vesalius_selected",0.5863,1.5243
"complex_8",8,2,"Vesalius_selected_redundancy",0.5863,1.5243
"complex_8",8,3,"Vesalius_all_dims",0.4849,1.5641
"complex_8",8,3,"Vesalius_selected",0.4265,3.0228
"complex_8",8,3,"Vesalius_selected_redundancy",0.4265,3.0228
"complex_8",8,4,"Vesalius_all_dims",0.671,1.2363
"complex_8",8,4,"Vesalius_selected",0.5219,1.6933
"complex_8",8,4,"Vesalius_selected_redundancy",0.5219,1.6933
"complex_8",8,5,"Vesalius_all_dims",0.5201,1.7408
"complex_8",8,5,"Vesalius_selected",0.3566,2.392
"complex_8",8,5,"Vesalius_selected_redundancy",0.3566,2.392
"complex_8",8,6,"Vesalius_all_dims",0.5153,1.5285
"complex_8",8,6,"Vesalius_selected",0.5407,1.6845
"complex_8",8,6,"Vesalius_selected_redundancy",0.5407,1.6845
"complex_8",8,7,"Vesalius_all_dims",0.3364,2.3619
"complex_8",8,7,"Vesalius_selected",0.3764,2.3846
"complex_8",8,7,"Vesalius_selected_redundancy",0.3764,2.3846
"complex_8",8,8,"Vesalius_all_dims",0.4073,2.1643
"complex_8",8,8,"Vesalius_selected",0.3423,3.064
"complex_8",8,8,"Vesalius_selected_redundancy",0.3423,3.064
"complex_8",8,9,"Vesalius_all_dims",0.5189,1.3464
"complex_8",8,9,"Vesalius_selected",0.3778,2.3973
"complex_8",8,9,"Vesalius_selected_redundancy",0.3778,2.3973
"complex_8",8,10,"Vesalius_all_dims",0.5401,1.4641
"complex_8",8,10,"Vesalius_selected",0.2629,3.2519
"complex_8",8,10,"Vesalius_selected_redundancy",0.2629,3.2519
