"replicate","pipeline","metric","dimension","score","rank"
1,"raw","morans_I",2,0.694010795808139,1
1,"raw","morans_I",1,0.660329984801635,2
1,"raw","morans_I",3,0.58278389650649,3
1,"raw","morans_I",10,0.040382568252911,4
1,"raw","morans_I",4,0.0395517728121281,5
1,"raw","morans_I",7,0.0256512458414227,6
1,"raw","morans_I",9,0.0228397707949839,7
1,"raw","morans_I",6,0.0168766668271814,8
1,"raw","morans_I",8,0.00740503631006529,9
1,"raw","morans_I",5,-0.00241216406870092,10
1,"raw","gearys_C",2,1.68806600331357,1
1,"raw","gearys_C",1,1.66004673821502,2
1,"raw","gearys_C",3,1.59176152256106,3
1,"raw","gearys_C",10,1.03895032666248,4
1,"raw","gearys_C",4,1.03487495228811,5
1,"raw","gearys_C",7,1.0206811762693,6
1,"raw","gearys_C",8,1.01842628326281,7
1,"raw","gearys_C",9,1.01754419158537,8
1,"raw","gearys_C",6,1.01027599418331,9
1,"raw","gearys_C",5,1.00087641640387,10
1,"raw","spatial_entropy",1,-2.77378927363086,1
1,"raw","spatial_entropy",2,-2.86216401836622,2
1,"raw","spatial_entropy",3,-2.87524286809377,3
1,"raw","spatial_entropy",4,-2.97478564631041,4
1,"raw","spatial_entropy",7,-2.99509932812988,5
1,"raw","spatial_entropy",6,-3.00014976621388,6
1,"raw","spatial_entropy",10,-3.03162957577206,7
1,"raw","spatial_entropy",5,-3.03197364224715,8
1,"raw","spatial_entropy",9,-3.03225904465522,9
1,"raw","spatial_entropy",8,-3.07149392392911,10
1,"smoothed","morans_I",2,0.744836672103897,1
1,"smoothed","morans_I",1,0.708617419557,2
1,"smoothed","morans_I",3,0.644943645111659,3
1,"smoothed","morans_I",10,0.040382568252911,4
1,"smoothed","morans_I",4,0.0395517728121281,5
1,"smoothed","morans_I",7,0.0256512458414227,6
1,"smoothed","morans_I",9,0.0228397707949839,7
1,"smoothed","morans_I",6,0.0168766668271814,8
1,"smoothed","morans_I",8,0.00740503631006529,9
1,"smoothed","morans_I",5,-0.00241216406870092,10
1,"smoothed","gearys_C",2,1.74111033217111,1
1,"smoothed","gearys_C",1,1.70874242132082,2
1,"smoothed","gearys_C",3,1.65578362149648,3
1,"smoothed","gearys_C",10,1.03895032666248,4
1,"smoothed","gearys_C",4,1.03487495228811,5
1,"smoothed","gearys_C",7,1.0206811762693,6
1,"smoothed","gearys_C",8,1.01842628326281,7
1,"smoothed","gearys_C",9,1.01754419158537,8
1,"smoothed","gearys_C",6,1.01027599418331,9
1,"smoothed","gearys_C",5,1.00087641640387,10
1,"smoothed","spatial_entropy",1,-2.70406708705208,1
1,"smoothed","spatial_entropy",3,-2.77358981828151,2
1,"smoothed","spatial_entropy",2,-2.82940595664903,3
1,"smoothed","spatial_entropy",4,-2.97478564631041,4
1,"smoothed","spatial_entropy",7,-2.99509932812988,5
1,"smoothed","spatial_entropy",6,-3.00014976621388,6
1,"smoothed","spatial_entropy",10,-3.03162957577206,7
1,"smoothed","spatial_entropy",5,-3.03197364224715,8
1,"smoothed","spatial_entropy",9,-3.03225904465522,9
1,"smoothed","spatial_entropy",8,-3.07149392392911,10
1,"smooth_eq","morans_I",2,0.746787683696808,1
1,"smooth_eq","morans_I",1,0.712463483533132,2
1,"smooth_eq","morans_I",3,0.648409172401526,3
1,"smooth_eq","morans_I",10,0.040382568252911,4
1,"smooth_eq","morans_I",4,0.0395517728121281,5
1,"smooth_eq","morans_I",7,0.0256512458414227,6
1,"smooth_eq","morans_I",9,0.0228397707949839,7
1,"smooth_eq","morans_I",6,0.0168766668271814,8
1,"smooth_eq","morans_I",8,0.00740503631006529,9
1,"smooth_eq","morans_I",5,-0.00241216406870092,10
1,"smooth_eq","gearys_C",2,1.74272871949876,1
1,"smooth_eq","gearys_C",1,1.71229131823273,2
1,"smooth_eq","gearys_C",3,1.65822264923421,3
1,"smooth_eq","gearys_C",10,1.03895032666248,4
1,"smooth_eq","gearys_C",4,1.03487495228811,5
1,"smooth_eq","gearys_C",7,1.0206811762693,6
1,"smooth_eq","gearys_C",8,1.01842628326281,7
1,"smooth_eq","gearys_C",9,1.01754419158537,8
1,"smooth_eq","gearys_C",6,1.01027599418331,9
1,"smooth_eq","gearys_C",5,1.00087641640387,10
1,"smooth_eq","spatial_entropy",1,-2.71261889967812,1
1,"smooth_eq","spatial_entropy",3,-2.82707859642778,2
1,"smooth_eq","spatial_entropy",2,-2.8288107604566,3
1,"smooth_eq","spatial_entropy",4,-2.97478564631041,4
1,"smooth_eq","spatial_entropy",7,-2.99509932812988,5
