"dimension","score","dim_reduction","metric","selected"
4,0.0220012311606748,"PCA","morans_I",TRUE
2,0.0109095783977623,"PCA","morans_I",FALSE
5,0.0061904622603574,"PCA","morans_I",FALSE
6,0.0057952202478937,"PCA","morans_I",FALSE
10,0.00435081884499377,"PCA","morans_I",FALSE
3,0.0043060365271707,"PCA","morans_I",FALSE
1,0.00376158861552826,"PCA","morans_I",FALSE
7,0.0027390006459801,"PCA","morans_I",FALSE
9,-0.00706101488592788,"PCA","morans_I",FALSE
8,-0.0295857471194042,"PCA","morans_I",FALSE
10,1.02464767371994,"PCA","gearys_C",TRUE
4,1.02144282018934,"PCA","gearys_C",TRUE
3,1.0130879808323,"PCA","gearys_C",TRUE
1,1.00880103420136,"PCA","gearys_C",TRUE
6,1.00599538481074,"PCA","gearys_C",TRUE
9,1.00306241222862,"PCA","gearys_C",TRUE
2,0.996564580245716,"PCA","gearys_C",TRUE
7,0.990331775078845,"PCA","gearys_C",TRUE
5,0.963791838004693,"PCA","gearys_C",FALSE
8,0.961654451342916,"PCA","gearys_C",FALSE
5,-1.52973493975973,"PCA","spatial_entropy",TRUE
2,-1.90908649122763,"PCA","spatial_entropy",FALSE
6,-2.04724277570203,"PCA","spatial_entropy",FALSE
7,-2.18397452992608,"PCA","spatial_entropy",FALSE
8,-2.19673901348934,"PCA","spatial_entropy",FALSE
9,-2.22480293037149,"PCA","spatial_entropy",FALSE
10,-2.26887291804629,"PCA","spatial_entropy",FALSE
3,-2.38525723800285,"PCA","spatial_entropy",FALSE
4,-2.52689697644443,"PCA","spatial_entropy",FALSE
1,-2.5939461319823,"PCA","spatial_entropy",FALSE
