"architecture","n_territories","replicate","threshold","n_selected","ari_baseline","ari_selected","improvement"
"3_territories",3,1,0.02,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.05,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.08,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.1,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.15,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.2,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.3,1,0.4762,0.9117,0.4355
"3_territories",3,1,0.5,1,0.4762,0.9117,0.4355
"3_territories",3,2,0.02,1,0.8604,0.7602,-0.1002
"3_territories",3,2,0.05,1,0.8604,0.7602,-0.1002
"3_territories",3,2,0.08,1,0.8604,0.7602,-0.1002
"3_territories",3,2,0.1,1,0.8604,0.7602,-0.1002
"3_territories",3,2,0.15,2,0.8604,0.8633,0.0029
"3_territories",3,2,0.2,2,0.8604,0.8633,0.0029
"3_territories",3,2,0.3,2,0.8604,0.8633,0.0029
"3_territories",3,2,0.5,2,0.8604,0.8633,0.0029
"3_territories",3,3,0.02,1,0.7469,0.6308,-0.1161
"3_territories",3,3,0.05,1,0.7469,0.6308,-0.1161
"3_territories",3,3,0.08,1,0.7469,0.6308,-0.1161
"3_territories",3,3,0.1,1,0.7469,0.6308,-0.1161
"3_territories",3,3,0.15,1,0.7469,0.6308,-0.1161
"3_territories",3,3,0.2,1,0.7469,0.6308,-0.1161
"3_territories",3,3,0.3,2,0.7469,0.7287,-0.0182
"3_territories",3,3,0.5,2,0.7469,0.7287,-0.0182
"3_territories",3,4,0.02,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.05,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.08,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.1,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.15,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.2,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.3,1,0.9645,0.9194,-0.0451
"3_territories",3,4,0.5,2,0.9645,0.9606,-0.0039
"3_territories",3,5,0.02,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.05,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.08,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.1,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.15,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.2,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.3,1,0.8062,0.5998,-0.2064
"3_territories",3,5,0.5,2,0.8062,0.7967,-0.0095
"5_territories",5,1,0.02,1,0.5145,0.4556,-0.0588
"5_territories",5,1,0.05,1,0.5145,0.4556,-0.0588
"5_territories",5,1,0.08,1,0.5145,0.4556,-0.0588
"5_territories",5,1,0.1,1,0.5145,0.4556,-0.0588
"5_territories",5,1,0.15,1,0.5145,0.4556,-0.0588
"5_territories",5,1,0.2,1,0.5145,0.4556,-0.0588
